date,DIS,FB,SBUX,WMT,WST
2015-07-27,112.2064,94.17,53.5464,64.7144,58.3206
2015-07-28,112.4057,95.29,53.6968,65.3672,58.3987
2015-07-29,113.7151,96.99,54.0445,65.4851,59.1799
2015-07-30,113.8954,95.21,54.5613,65.4216,58.3695
2015-07-31,113.867,94.01,54.4392,65.2584,58.4573
2015-08-03,114.9297,94.14,54.6835,65.4397,58.428
2015-08-04,115.4706,94.06,55.3149,65.5032,58.8869
2015-08-05,104.881,96.44,55.607,67.1006,59.2677
2015-08-06,103.0021,95.12,53.9297,66.4434,58.3987
2015-08-07,103.7613,94.3,53.9014,65.0377,58.2816
2015-08-10,105.3269,94.15,53.025,65.2476,58.4476
2015-08-11,102.4803,93.62,53.1004,65.6584,58.2328
2015-08-12,101.5219,94.19,53.1287,66.2517,57.9301
2015-08-13,102.0248,93.43,53.5716,65.8227,57.9008
2015-08-14,101.6832,94.42,53.8072,66.0691,57.9887
2015-08-17,103.4766,93.93,54.4103,65.6401,58.6917
2015-08-18,101.4744,95.17,54.4951,63.422,58.7112
2015-08-19,101.0095,95.31,54.2689,62.5913,57.9105
2015-08-20,94.9081,90.56,52.5916,62.4635,55.8113
2015-08-21,93.7884,86.06,49.7928,60.7383,54.7568
2015-08-24,90.4863,82.09,47.437,58.3742,53.341
2015-08-25,90.9892,83.0,48.1438,57.5983,53.9463
2015-08-26,94.1585,87.19,50.8482,59.1774,56.3971
2015-08-27,96.9482,89.73,52.7235,60.3184,55.7429
2015-08-28,97.2424,91.01,52.4219,59.2778,55.5184
2015-08-31,96.673,89.43,51.555,59.0862,54.5322
2015-09-01,94.4242,87.23,50.4148,58.2555,53.3996
2015-09-02,96.6825,89.89,52.0733,58.8214,54.3369
2015-09-03,96.7774,88.15,51.5361,59.2048,54.0342
2015-09-04,95.8096,88.26,51.1498,58.3194,53.7413
2015-09-08,98.6942,89.53,52.0262,60.5923,55.2547
2015-09-09,96.7015,90.44,51.5361,59.4421,54.6005
2015-09-10,97.3562,91.98,52.1769,58.5293,55.4207
2015-09-11,99.1402,92.05,53.27,59.0131,56.1237
2015-09-14,98.5139,92.31,53.0439,58.6754,55.5672
2015-09-15,98.1438,92.9,53.6281,58.7119,55.8894
2015-09-16,98.6467,93.45,53.9579,59.0496,55.616
2015-09-17,98.8745,94.34,53.9768,58.8488,56.1433
2015-09-18,97.584,94.4,53.5622,57.8173,55.5574
2015-09-21,98.1248,95.55,54.2218,58.1642,55.3035
2015-09-22,97.2519,92.96,53.826,58.0455,54.9032
2015-09-23,96.3789,93.97,54.4574,58.1642,55.3133
2015-09-24,95.4774,94.41,55.0039,58.2646,56.5045
2015-09-25,95.1738,92.77,54.6458,58.219,54.3467
2015-09-28,93.4563,89.21,52.5539,58.1094,53.0481
2015-09-29,94.3388,86.67,52.5068,58.219,53.0188
2015-09-30,96.9767,89.9,53.5622,59.1866,52.843
2015-10-01,97.4227,90.95,54.1653,58.6663,52.5598
2015-10-02,97.7358,92.07,54.7307,59.3144,53.1262
2015-10-05,98.5424,94.01,55.6353,60.1268,53.7901
2015-10-06,98.4664,92.8,55.3055,59.9533,52.4329
2015-10-07,98.1059,92.4,55.3903,60.574,53.1457
2015-10-08,99.2635,92.47,56.0311,61.0487,53.2629
2015-10-09,100.165,93.24,56.6059,60.8753,53.5948
2015-10-12,100.9146,94.26,57.0488,61.0943,54.3174
2015-10-13,101.1423,94.12,56.6907,60.9118,53.6925
2015-10-14,100.3263,94.07,55.428,54.7959,53.4972
2015-10-15,102.3759,95.96,56.2478,54.157,54.7665
2015-10-16,102.708,97.54,56.474,53.7553,55.0204
2015-10-19,103.8751,98.47,57.454,53.7188,54.6779
2015-10-20,104.2262,97.0,57.3692,53.6276,54.2278
2015-10-21,104.4634,97.11,57.0394,53.5271,53.9147
2015-10-22,107.4619,99.67,57.944,53.7645,54.3159
2015-10-23,107.3101,102.19,58.9994,53.2168,55.7934
2015-10-26,107.7181,103.77,59.7721,52.9612,55.9206
2015-10-27,107.9554,103.7,59.0937,52.4683,56.3707
2015-10-28,108.4962,104.2,59.8475,52.6143,58.6702
2015-10-29,109.1605,104.88,58.8958,52.9064,58.8169
2015-10-30,107.9269,101.97,58.9617,52.2492,58.7191
2015-11-02,109.1605,103.31,58.6508,52.5869,59.5312
2015-11-03,109.6349,102.58,59.1785,53.0434,59.7954
2015-11-04,107.4619,103.94,58.3869,53.2807,60.6956
2015-11-05,107.2247,108.76,58.6884,53.4998,61.1947
2015-11-06,109.7583,107.095,58.3963,53.6549,62.271
2015-11-09,110.4699,106.49,57.9898,53.3902,61.8894
2015-11-10,111.4188,107.91,58.7839,53.5637,61.7426
2015-11-11,110.5648,109.01,58.4908,52.5596,61.2142
